"qudtUri","ucumCode"
"http://qudt.org/vocab/unit/CCY_GNF",NA
"http://qudt.org/vocab/unit/CCY_GTQ",NA
"http://qudt.org/vocab/unit/CCY_GYD",NA
"http://qudt.org/vocab/unit/CCY_HKD",NA
"http://qudt.org/vocab/unit/CCY_HNL",NA
"http://qudt.org/vocab/unit/CCY_HRK",NA
"http://qudt.org/vocab/unit/CCY_HTG",NA
"http://qudt.org/vocab/unit/CCY_HUF",NA
"http://qudt.org/vocab/unit/CCY_HUF-PER-KiloW-HR",NA
"http://qudt.org/vocab/unit/CCY_IDR",NA
"http://qudt.org/vocab/unit/CCY_ILS",NA
"http://qudt.org/vocab/unit/CCY_INR",NA
"http://qudt.org/vocab/unit/CCY_IQD",NA
"http://qudt.org/vocab/unit/CCY_IRR",NA
"http://qudt.org/vocab/unit/CCY_ISK",NA
"http://qudt.org/vocab/unit/CCY_JMD",NA
"http://qudt.org/vocab/unit/CCY_JOD",NA
"http://qudt.org/vocab/unit/CCY_JPY",NA
"http://qudt.org/vocab/unit/CCY_KES",NA
"http://qudt.org/vocab/unit/CCY_KGS",NA
"http://qudt.org/vocab/unit/CCY_KHR",NA
"http://qudt.org/vocab/unit/CCY_KMF",NA
"http://qudt.org/vocab/unit/CCY_KPW",NA
"http://qudt.org/vocab/unit/CCY_KRW",NA
"http://qudt.org/vocab/unit/CCY_KWD",NA
"http://qudt.org/vocab/unit/CCY_KYD",NA
"http://qudt.org/vocab/unit/CCY_KZT",NA
"http://qudt.org/vocab/unit/CCY_LAK",NA
"http://qudt.org/vocab/unit/CCY_LBP",NA
"http://qudt.org/vocab/unit/CCY_LKR",NA
"http://qudt.org/vocab/unit/CCY_LRD",NA
"http://qudt.org/vocab/unit/CCY_LSL",NA
"http://qudt.org/vocab/unit/CCY_LTL",NA
"http://qudt.org/vocab/unit/CCY_LVL",NA
"http://qudt.org/vocab/unit/CCY_LYD",NA
"http://qudt.org/vocab/unit/CCY_MAD",NA
"http://qudt.org/vocab/unit/CCY_MDL",NA
"http://qudt.org/vocab/unit/CCY_MGA",NA
"http://qudt.org/vocab/unit/CCY_MKD",NA
"http://qudt.org/vocab/unit/CCY_MMK",NA
